Ref,Val,Package,PosX,PosY,Rot,Side
"C1","33pF","C_0402_1005Metric",144.100000,-97.000000,90.000000,top
"C2","33pF","C_0402_1005Metric",146.700000,-94.700000,180.000000,top
"C3","330uF/50V","CP_Radial_D10.0mm_P5.00mm",112.100000,-104.400000,180.000000,top
"C4","0.1uF","C_0402_1005Metric",142.800000,-110.300000,0.000000,top
"C5","0.1uF","C_0402_1005Metric",131.600000,-127.000000,270.000000,top
"C6","4.7uF","C_0402_1005Metric",151.700000,-110.100000,180.000000,top
"C7","10uF","C_0402_1005Metric",143.500000,-115.880000,270.000000,top
"C8","1uF","C_0402_1005Metric",138.200000,-115.700000,270.000000,top
"C9","10uF","C_0402_1005Metric",117.000000,-101.900000,90.000000,top
"C10","0.1uF/50V","C_0603_1608Metric",117.700000,-128.200000,180.000000,top
"C11","1uF/50V","C_0603_1608Metric",145.700000,-125.600000,270.000000,top
"C12","330uF/16V","CP_Elec_8x10.5",145.800000,-132.200000,0.000000,top
"C13","0.1uF","C_0402_1005Metric",142.300000,-112.900000,90.000000,top
"C16","1uF","C_0402_1005Metric",119.800000,-127.200000,90.000000,top
"C17","10uF","C_0402_1005Metric",128.700000,-121.700000,0.000000,top
"D1","D_Schottky","D_SOD-123",152.900000,-113.600000,90.000000,top
"D2","D_Schottky","D_SOD-123",137.600000,-129.100000,0.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",147.600000,-113.500000,180.000000,top
"D4","D_Schottky","D_SOD-123",130.900000,-123.500000,270.000000,top
"IC1","TMC2590-TA-Trinamic","TQFP32-5x5mm",124.035000,-124.600000,180.000000,top
"J1","BARREL_JACK","DC-005C-25A",160.300000,-122.200000,90.000000,top
"J2","Screw_Terminal_01x04","TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",106.300000,-129.400000,0.000000,top
"J9","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",156.100000,-104.202000,90.000000,top
"L2","68uH","L_Taiyo-Yuden_NR-60xx",135.700000,-124.400000,180.000000,top
"Q1","Q_NPN_BEC","SOT-23",139.800000,-108.800000,180.000000,top
"Q2","NCE4614","SOIC-8_3.9x4.9mm_P1.27mm",125.000000,-133.000000,270.000000,top
"Q3","NCE4614","SOIC-8_3.9x4.9mm_P1.27mm",118.900000,-133.000000,270.000000,top
"Q4","Q_NPN_BEC","SOT-23",139.800000,-102.500000,180.000000,top
"Q5","NCE4614","SOIC-8_3.9x4.9mm_P1.27mm",111.600000,-122.600000,180.000000,top
"Q6","NCE4614","SOIC-8_3.9x4.9mm_P1.27mm",111.600000,-117.000000,180.000000,top
"R1","50mR/2W/NON-IND","R_2512_6332Metric_Pad1.52x3.35mm_HandSolder",130.700000,-133.000000,270.000000,top
"R2","10R","R_0402_1005Metric",130.200000,-127.000000,90.000000,top
"R3","5.1k","R_0402_1005Metric",150.100000,-106.800000,270.000000,top
"R4","50mR/2W/NON-IND","R_2512_6332Metric_Pad1.52x3.35mm_HandSolder",111.800000,-112.100000,180.000000,top
"R5","10R","R_0402_1005Metric",116.400000,-112.800000,270.000000,top
"R13","5.1k","R_0402_1005Metric",150.100000,-99.800000,90.000000,top
"R16","10kR","R_0402_1005Metric",140.600000,-105.000000,0.000000,top
"R17","10kR","R_0402_1005Metric",140.600000,-106.300000,0.000000,top
"R18","10kR","R_0402_1005Metric",150.100000,-108.900000,90.000000,top
"R25","470R","R_0402_1005Metric",138.200000,-105.000000,180.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_5.1x5.1mm",157.000000,-113.400000,90.000000,top
"U1","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",145.500000,-104.400000,180.000000,top
"U2","XC6210B332MR","SOT-23-5",140.900000,-116.800000,0.000000,top
"U3","XL1509-5.0","SOIC-8_3.9x4.9mm_P1.27mm",142.100000,-123.900000,270.000000,top
"U4","ESP32-WROOM-32","ESP32-WROOM-32",127.486000,-109.532000,0.000000,top
"U6","SN74LV1T34DBV","SOT-23-5",139.900000,-112.600000,270.000000,top
"Y1","12MHz","Crystal_SMD_2520-4Pin_2.5x2.0mm",146.600000,-97.000000,180.000000,top
